,tweet,Uber_predicted_label
44,@JaphetOnchana1 @JaphetOnchana1 apologies for the inconvenience kindly share a reachable number for further assistance Thank You^AD,1
45,"@JoanCheronoh Hi Joan, sorry about that. Clear cache on app settings and restart phone to try again. Should you require more information, please do not hesitate to contact us on 0722 002 222 or Email M-PESABusiness@safaricom.co.ke .^CS",0
46,"Today again, just subscribed to 5GB Safaricom bundles to work on something. This has been my internet speed. 
@SafaricomPLC @Safaricom_Care you people are just pure garbage with your services. And I've called your customer care which didn't really help. https://t.co/ZwsJeQMJUF",1
47,"Once upon a time, @Safaricom_Care was an epitome of Customer Care support on Twitter. Looks like nowadays one can go near 48 hours, and the only response is from wannabe phishers. Kuliendaje wakuu?",0
48,@Safaricom_Care is there a time-limit for you to sort the business till statements? It is very frustrating not being able to even download them using your app or other shorts codes https://t.co/p0ETjVeXyl,0
49,@Safaricom_Care my home Fibre internet has been down since last evening. Is there an issue?,1
50,"@nicholas_64 Hello Nicholas, sorry about this. Could you kindly DM us a brief of the issue at hand for follow up? ^MZ @PeterNdegwa_",1
51,@MutwiriMutuota @Safaricom_Care @IEBCKenya @DCI_Kenya Piga Kura wacha kelele,1
52,@MrRightke @Safaricom_Care 😂😂😂😂😂,1
53,"@AngellaNeemo Hi Angella, kindly DM https://t.co/jF6LqBUAqM a screen shot of the displayed wrong name and the correct till number, name of business/mobile number and name of intended person for us to look into it. Kindly include your mobile number as well. ^ST",0
54,"Who is selling our phone numbers to these candidates who bombard you with texts each morning to vote for them? I believe such usage of data is illegal. If they are breaking the law now, guess what they will do once elected!! @Safaricom_Care @IEBCKenya @DCI_Kenya",0
55,@Safaricom_Care please advise how it is that the name of a person/business shows a different name when paying through the app,0
56,@zadamred Hello. Please DM https://t.co/jF6LqBUAqM your account number ^PW,0
57,@zadamred @zadamred apologies for the inconvenience kindly share a reachable number for further assistance Thank You^AD,1
58,@Safaricom_Care we paid for safaricom wifi but it keeps on showing no internet .some of your employees came and told me that In thirty minutes it will be fixed but after now 12 hours it still has the same problem please reply and help me,0
59,@Safaricom_Care @HassanAzana hello safaricom I paid for a monthly installment of safaricom wifi but when I try to connect it is showing no internet .some of your employees came to check on it but the same problem is still there please reply for I need help,1
60,"@HassanAzana Hi Hassan, kindly call us via 400 for assistance. ^RM",1
61,"@shiivachi Hi, yes we do if you have qualified. Please check DM. ^WS",1
62,@Safaricom_Care I've just reset my Adrian ak 3300 4g.. I can't find the default password for login into the portal 192.168.0.1 https://t.co/5uEh7cg2Eu,1
63,@TheNjui @Safaricom_Care Deep,1
64,Do safaricom still give out free birthday bundles @Safaricom_Care,0
65,Hey @Safaricom_Care never text me again those william Ruto nonsense. Thanks,0
66,@mkopakenya You guyz need to style up! You can’t hv one center (Chester house) with no queue management system and with only 3 staffs to handle the many customers issues. Your services are PATHETIC that’s the least I can say!! @PeterNdegwa_ @Safaricom_Care,0
67,"🤔 to @Safaricom_Care your net is slow am getting 200 ping on Fortnite and it's not usually like this

Safaricom in Kenya: speed, performance, outages and user reviews
👉 https://t.co/4IibTpxDSf

#fing #internet #Safaricom

via @fingapp @outagedetect",0
68,DM(1) @Safaricom_Care,1
69,"@Safaricom_Care Please activate my account it's disconnected today and the payment day is 7th 11180209 
Please read my dms well before u answer me",0
70,"@SwiftdealL Hello @Swiftdeal, DM https://t.co/jF6LqBUAqM your phone number, full name and ID number we check and advise. ^JK",1
71,"@Safaricom_Care I redeemed my bonga points for Miniso just to realise when I went to the shop to buy my goods they it doesn't work in Mombasa 
Can you reverse my points pls",1
72,@AmJose_ @Safaricom_Care The Kings of spam,1
73,Death by NYAKUABONUS from @Safaricom_Care,1
74,"@iamzakarianoor Morning, Noor. A line is recycled after it stays for 120 days without any top up being done. Visit the nearest Safaricom shop with your ID card to recover any funds you had in M-PESA account. Dial *456# &gt;select Find &gt;Customer Care Shop Near Me, to get our shops.^WS",0
75,"@Safaricom_Care what was the point of recycling a number that i still recieve its mpesa statement and one no one actually uses it, its off has been off for a while. Yaani i was good few weeks ago if i had a complaint it got resolved first and with proffessionalism 😕😡🤦🏽‍♂️",1
76,@Safaricom_Care check dm,1
77,"@AyokiOnyango Hello, sorry for the inconvenience kindly share a reachable number via DM we advice thank you ^AW",0
78,What is. Safaricom data bundles from 500mbs 75mbs 45mbs 2mbs @SafaricomPLC @Safaricom_Care 🙆🤷,1
79,@Safaricom_Care I did exactly that when l wrongly sent money to one Faith Otunga of 0707985169. Safaricom texted me &amp; said the money has partially been used &amp; that it would revert to me. No message came. Upon inquiry a lady from your firm advised me to report to the police.,0
80,@ajcoop22 Kindly check DM.^WM,1
81,@Safaricom_Care QH35M8M6TN,1
82,@Safaricom_Care how much does it cost to install fixed LTE? What is the monthly subscription rate?,0
83,"@MrRightke @Safaricom_Care Your right pocket should not knoweth what the left beholds,back to the studio viewers.",0
84,@MrRightke @Safaricom_Care Shukisha🤣🤣🤣,1
85,@Qwitu4Qwitu Sorry about that. And thanks for your patience. ^AO,1
86,"@Safaricom_Care Enough! 
Will be patient.",1
87,@Qwitu4Qwitu We have reported network issue in Onyonka-Nairobi and it's environs. It's being addressed. ^AO,1
88,"@Safaricom_Care AO, just wanted to confirm that you know there're issues and if it's being addressed. It's nothing to do with my line. I've asked 4 friends who have similar experience",0
89,"@Qwitu4Qwitu Hello, our apologies. Kindly DM us the affected mobile/account number for assistance. ^AO",0
90,"@staric_feliiz Hi, our sincere apologies. Kindly DM us the affected account number for assistance. ^AO",0
91,"@Safaricom_Care @SafaricomPLC 
What's happening to your network today/lately. I've not seen such a slow and patchy internet of late!",0
92,"@oowambo Hi Daniel, on it. ^AO",0
93,"@StevieScion Hi Stevie, our apologies. Kindly DM us the affected mobile number for assistance. ^AO",1
94,"@SafaricomPLC @Safaricom_Care Mimi sitaki ya free, data yenyu ni very expensive 🫰 https://t.co/Quj5BtDZZY",1
95,@Safaricom_Care your homefiba connections sucks not stable at all  🙄,0
96,"@CCmasitta Hello Chris sorry about this, share with us your number via DM https://t.co/jF6LqBUAqM ^ED",0
97,@Safaricom_Care please see DM.,0
98,@Safaricom_Care kwani whatsup with my net...I've bought the 1GB for 1 hour and I've spent the 50 minutes trying to tweet you guys,0
99,Hi @Safaricom_Care naeza lipa okoa jahazi na credit ya Airtel?,1
